# Bangla word list for Amader Bangla Keyboard.
# Derived from the Google language-resources (bn) lexicon,
# https://github.com/google/language-resources  (CC BY 4.0).
# Format: bangla<TAB>freq
অতর্কিতে	9
অতল	11
অতলে	11
অতি	12
অতিক্রম	9
অতিক্রমকালে	7
অতিক্রমের	8
অতিক্রান্ত	8
অতিক্ষুদ্র	8
অতিথি	11
অতিথিকে	10
অতিথিদের	9
অতিথির	10
অতিথিরা	10
অতিথিরাও	9
অতিথিশালা	9
অতিদরিদ্র	8
অতিদারিদ্র্য	7
অতিদ্রুত	9
অতিপরিচিত	8
অতিপ্রাকৃত	8
অতিপ্রাকৃতিক	7
অতিবাহিত	9
অতিবৃষ্টি	9
অতিবৃষ্টিতে	8
অতিবৃষ্টির	8
অতিবেগুনি	9
অতিমাত্রার	8
অতিরঞ্জন	8
অতিরঞ্জিত	8
অতিরিক্ত	9
অতিরিক্তি	9
অতিষ্ট	10
অতিষ্ঠ	10
অতিসত্বর	8
অতিসম্প্রতি	7
অতিসাধারণ	8
অতীত	11
অতীতকাল	9
অতীতকে	10
অতীতে	11
অতীতেও	10
অতীতের	10
অতীব	11
অতীশ	11
অতুল	11
অতুলনীয়	9
অতুলপ্রসাদ	7
অতৃপ্ত	10
অতৃপ্তি	10
অতৃপ্তির	9
অতো	12
অতোটা	11
অত্যধিক	9
অত্যন্ত	9
অত্যাচার	9
অত্যাচারিত	8
অত্যাচারী	9
অত্যাচারীর	8
অত্যাচারে	9
অত্যাচারের	8
অত্যাধিক	9
অত্যাধুনিক	8
অত্যান্ত	9
অত্যাবশ্যক	7
অত্যাশ্চর্য	7
অত্যুক্তি	9
অত্র	11
অথই	11
অথচ	11
অথনৈতিক	9
অথবা	11
অথরাইজড	8
অথরিটি	10
অথর্ব	10
অথৈ	12
অথৈর	11
অদক্ষ	10
অদক্ষতা	9
অদক্ষতার	8
অদম্য	10
অদল	11
অদলবদল	8
অদিত	11
অদিতি	11
অদূর	11
অদূরদর্শী	8
অদূরে	11
অদূরেই	10
অদৃশ্য	10
অদৃশ্যমান	8
অদৃষ্ট	10
অদৃষ্টের	9
অদেখা	11
অদ্বিতী	10
অদ্বিতীয়	9
অদ্বৈত	10
অদ্ভুত	10
অদ্ভুতই	9
অদ্ভুতভাবে	8
অদ্ভুদ	10
অদ্ভূত	10
অদ্য	11
অদ্যাবধি	9
অধঃপতন	9
অধঃপতনের	8
অধম	11
অধমের	10
অধর	11
অধরা	11
অধরাই	10
অধর্ম	10
অধস্তন	9
অধিক	11
অধিককাল	9
অধিকতর	9
অধিকন্তু	9
অধিকরণ	9
অধিকর্তা	9
অধিকসংখ্যক	7
অধিকাংশ	10
অধিকাংশই	9
অধিকাংশকে	9
অধিকাংশের	9
অধিকাংশেরই	8
অধিকার	10
অধিকারই	9
অধিকারও	9
অধিকারকর্মী	7
অধিকারকে	9
অধিকারগুলো	8
অধিকারবঞ্চিত	6
অধিকারমূলক	7
অধিকারিণী	9
অধিকারী	10
অধিকারীদের	8
অধিকারীর	9
অধিকারীরা	9
অধিকারে	10
অধিকারের	9
অধিকৃত	10
অধিগ্রহণ	8
অধিগ্রহণকৃত	6
অধিগ্রহণে	8
অধিগ্রহণের	7
অধিদপ্তর	8
অধিদপ্তরকে	7
অধিদপ্তরসহ	6
অধিদপ্তরে	8
অধিদপ্তরের	7
অধিদফতর	8
অধিদফতরকে	7
অধিদফতরে	8
অধিদফতরের	7
অধিনায়ক	9
অধিনায়কের	8
অধিনে	11
অধিপতি	10
অধিবর্ষ	9
অধিবাসী	10
অধিবাসীকে	9
অধিবাসীদের	8
অধিবাসীর	9
অধিবাসীরা	9
অধিবেশন	9
অধিবেশনটি	8
অধিবেশনে	9
অধিবেশনেই	8
অধিবেশনের	8
অধিভুক্ত	9
অধিষ্ঠান	9
অধিষ্ঠিত	9
অধীন	11
অধীনতা	10
অধীনস্ত	9
অধীনস্থ	9
অধীনস্থদের	7
অধীনে	11
অধীনেই	10
অধীর	11
অধীশ্বর	9
অধুনা	11
অধুনার	10
অধুনালুপ্ত	8
অধৈর্য	10
অধ্য	11
অধ্যক্ষ	9
অধ্যক্ষকে	8
অধ্যক্ষসহ	7
অধ্যক্ষের	8
অধ্যাত্ম	9
অধ্যাদেশ	9
অধ্যাদেশে	9
অধ্যাদেশের	8
অধ্যাপক	9
অধ্যাপককে	8
অধ্যাপকদের	7
অধ্যাপকরা	8
অধ্যাপকের	8
অধ্যাপনা	9
অধ্যাপনার	8
অধ্যাপিকা	9
অধ্যুষিত	9
অন	12
অনগ্রসর	8
অনটন	10
অনটনে	10
অনটনের	9
অনতিদূরে	9
অনতিবিলম্বে	7
অনধিক	10
অনধিকার	9
অননুমোদিত	8
অননুমোদিতভাবে	6
অনন্ত	10
অনন্তকাল	8
অনন্তকে	9
অনন্তপুর	8
অনন্তর	9
অনন্তের	9
অনন্য	10
অনন্যতা	9
অনন্যসাধারণ	6
অনন্যা	10
অনন্যাকে	9
অনন্যার	9
অনবদ্য	9
অনবরত	9
অনভিজ্ঞ	9
অনভিপ্রেত	8
অনভ্যস্ত	8
অনম	11
অনর্গল	9
অনর্থ	10
অনর্থক	9
অনর্থের	9
অনল	11
অনলাইন	9
অনলাইনকে	8
অনলাইনভিত্তিক	5
অনলাইনে	9
অনলাইনেই	8
অনলাইনেও	8
অনলাইনের	8
অনলি	11
অনলে	11
অনশন	10
অনশনরত	8
অনশনে	10
অনশনের	9
অনস্ক্রিন	8
অনস্বীকার্য	7
অনাকাঙ্ক্ষিত	7
অনাগত	10
অনাগ্রহ	9
অনাগ্রহী	9
অনাগ্রহের	8
অনাচার	10
অনাচারের	9
অনাথ	11
অনাদর	10
অনাদরে	10
অনাদি	11
অনাদিকাল	9
অনাদিল	10
অনানুষ্ঠানিক	7
অনানুষ্ঠানিকভাবে	5
অনান্য	10
অনাপত্তি	9
অনাপত্তিপত্র	6
অনাবশ্যক	8
অনাবাদি	10
অনাবাসিক	9
অনাবিল	10
অনাবিষ্কৃত	8
অনাবৃত	10
অনাবৃষ্টি	9
অনাবৃষ্টির	8
অনামিকা	10
অনামিকার	9
অনার	11
অনারারি	10
অনার্য	10
অনার্য্য	9
অনার্য্যজাতি	7
অনার্স	10
অনার্সসহ	8
অনার্সে	10
অনার্সের	9
অনাস্থা	10
অনাস্থার	9
অনাহার	10
অনাহারী	10
অনাহারে	10
অনাহুত	10
অনাহূত	10
অনি	12
অনিঃশেষ	10
অনিক	11
অনিককে	10
অনিকা	11
অনিকাকে	10
অনিকার	10
অনিকেত	10
অনিকের	10
অনিচ্ছা	10
অনিচ্ছাকৃত	8
অনিচ্ছাকৃতভাবে	6
অনিচ্ছার	9
অনিচ্ছুক	9
অনিতা	11
অনিতার	10
অনিত্য	10
অনিদ্রা	10
অনিদ্রার	9
অনিন্দিতা	9
অনিন্দ্য	9
অনিন্দ্যসুন্দর	5
অনিবন্ধিত	8
অনিবার্য	9
অনিবার্যভাবে	7
অনিমা	11
অনিমেষ	10
অনিমেষকে	9
অনিমেষের	9
অনিরাপদ	9
অনিরুদ্ধ	9
অনির্দিষ্ট	8
অনির্দিষ্টকাল	6
অনির্দিষ্টকালের	5
অনির্ধারিত	8
অনির্বাচিত	8
অনির্বাণ	9
অনির্বাণে	9
অনিল	11
অনিশ্চিত	9
অনিষ্ট	10
অনিষ্পন্ন	8
অনীক	11
অনীল	11
অনীহা	11
অনীহার	10
অনু	12
অনুকম্পা	9
অনুকরণ	9
অনুকরণে	9
অনুকরণের	8
অনুকার	10
অনুকুলে	10
অনুকূল	10
অনুকূলে	10
অনুগত	10
অনুগতদের	8
অনুগতরা	9
অনুগামী	10
অনুগ্রহ	9
অনুগ্রহে	9
অনুগ্রহের	8
অনুঘটক	9
অনুচর	10
অনুচিত	10
অনুচিৎ	10
অনুচ্চ	10
অনুচ্চারিত	8
অনুচ্ছেদ	9
অনুচ্ছেদটি	8
অনুচ্ছেদে	9
অনুচ্ছেদের	8
অনুজ	11
অনুজপ্রতিম	7
অনুজ্জ্বল	8
অনুজ্ঞা	10
অনুতপ্ত	9
অনুতাপ	10
অনুত্তীর্ণ	8
অনুৎপাদনশীল	6
অনুদান	10
অনুদানে	10
অনুদানের	9
অনুদার	10
অনুদিত	10
অনুধাবন	9
অনুধাবনমূলক	6
অনুধাবনে	9
অনুধাবনের	8
অনুন্নত	9
অনুপ	11
অনুপম	10
অনুপমা	10
অনুপমের	9
অনুপযুক্ত	8
অনুপযোগী	9
অনুপস্থিত	8
অনুপস্থিতি	8
অনুপস্থিতিতে	7
অনুপস্থিতিতেই	6
অনুপস্থিতির	7
অনুপস্থিতে	8
অনুপাত	10
অনুপাতে	10
অনুপাতের	9
অনুপোযোগী	9
অনুপ্রবেশ	8
অনুপ্রবেশকারী	6
অনুপ্রবেশকারীদের	4
অনুপ্রবেশকারীরা	5
অনুপ্রবেশের	7
অনুপ্রাণিত	8
অনুপ্রেরণা	8
অনুপ্রেরণার	7
অনুবাদ	10
অনুবাদও	9
অনুবাদক	9
অনুবাদকের	8
অনুবাদে	10
অনুবাদের	9
অনুবিভাগ	9
অনুবিভাগের	8
অনুভব	10
অনুভবে	10
অনুভবের	9
অনুভুতি	10
অনুভূত	10
অনুভূতি	10
অনুভূতিই	9
অনুভূতিও	9
অনুভূতিকে	9
অনুভূতিগুলো	8
অনুভূতিটা	9
অনুভূতিতে	9
অনুভূতির	9
অনুভূতিহীন	8
অনুমতি	10
অনুমতিও	9
অনুমতিক্রমে	7
অনুমতিতে	9
অনুমতিপত্র	7
অনুমতির	9
অনুমান	10
অনুমাননির্ভর	6
অনুমানে	10
অনুমানের	9
অনুমিত	10
অনুমিতই	9
অনুমিতভাবেই	7
অনুমোদন	9
অনুমোদনও	8
অনুমোদনকারী	7
অনুমোদনক্রমে	6
অনুমোদনবিহীন	6
অনুমোদনসমূহ	6
অনুমোদনহীন	7
অনুমোদনে	9
অনুমোদনের	8
অনুমোদিত	9
অনুযায়ী	10
অনুযায়ীঃ	10
অনুযোগ	10
অনুর	11
অনুরক্ত	9
অনুরণন	9
অনুরণিত	9
অনুরাগ	10
অনুরাগী	10
অনুরাগীদের	8
অনুরাগীরা	9
অনুরাগে	10
অনুরাগের	9
অনুরূপ	10
অনুরূপভাবে	8
অনুরোধ	10
অনুরোধও	9
অনুরোধে	10
অনুরোধেই	9
অনুরোধের	9
অনুর্ধ	10
অনুর্ধ্ব	9
অনুর্বর	9
অনুলিপি	10
অনুশাসন	9
অনুশাসনে	9
অনুশাসনের	8
অনুশীলন	9
অনুশীলনই	8
অনুশীলনও	8
অনুশীলনটা	8
অনুশীলনী	9
অনুশীলনীর	8
অনুশীলনে	9
অনুশীলনেও	8
অনুশীলনের	8
অনুশোচনা	9
অনুশোচনার	8
অনুষঙ্গ	9
অনুষদ	10
অনুষদে	10
অনুষদের	9
অনুষ্কা	10
অনুষ্কার	9
অনুষ্টানে	9
অনুষ্ঠান	9
অনুষ্ঠানই	8
অনুষ্ঠানও	8
অনুষ্ঠানকে	8
অনুষ্ঠানগুলো	7
অনুষ্ঠানগুলোতে	6
অনুষ্ঠানগুলোর	6
অনুষ্ঠানটা	8
অনুষ্ঠানটি	8
অনুষ্ঠানটিতে	7
অনুষ্ঠানটির	7
অনুষ্ঠানমালা	7
অনুষ্ঠানমালার	6
অনুষ্ঠানরত	7
অনুষ্ঠানসহ	7
অনুষ্ঠানস্থল	6
অনুষ্ঠানস্থলে	6
অনুষ্ঠানস্থলের	5
অনুষ্ঠানাদির	7
অনুষ্ঠানে	9
অনুষ্ঠানেই	8
অনুষ্ঠানেও	8
অনুষ্ঠানের	8
অনুষ্ঠানেরও	7
অনুষ্ঠিত	9
অনুষ্ঠিতব্য	7
অনুসন্ধান	8
অনুসন্ধানকারী	6
অনুসন্ধানী	8
অনুসন্ধানে	8
অনুসন্ধানের	7
অনুসন্ধিৎসু	7
অনুসমর্থন	7
অনুসমর্থনের	6
অনুসরণ	9
অনুসরণকারী	7
অনুসরণে	9
অনুসরণের	8
অনুসর্গ	9
অনুসারি	10
অনুসারী	10
অনুসারীদের	8
অনুসারীর	9
অনুসারীরা	9
অনুসারীরাও	8
অনুসারে	10
অনুসারেই	9
অনুসৃত	10
অনুস্বাক্ষর	7
অনূদিত	10
অনূর্ধ্ব	9
অনে	12
অনেক	11
অনেকই	10
অনেককাল	9
অনেককিছু	9
অনেককিছুই	8
অনেককে	10
অনেককেই	9
অনেকক্ষণ	8
অনেকক্ষেত্রে	7
অনেকখানি	9
অনেকখানিই	8
অনেকগুণ	9
অনেকগুলি	9
অনেকগুলো	9
অনেকগুলোই	8
অনেকটা	10
অনেকটাই	9
অনেকদিন	9
অনেকদিনের	8
অনেকদূর	9
অনেকবার	9
